question_bank_code,question_bank_name,product_code,product_name,category_level1_code,category_level2_code,category_level3_code,target_grade_codes,target_learning_goal_codes,target_learner_identity_codes,delivery_mode_codes,question_mix,content_tags,question_styles,source_series_names
general_purpose_programming_bank,通用程序设计题库,computer_science_core,计算机科学能力线,computer_science,programming_languages,general_purpose_programming,"[""junior_college"", ""undergraduate""]","[""career_switch"", ""job_hunting"", ""skill_improvement""]","[""in_school_student"", ""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""通用程序设计"", ""编程语言"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""通用编程入门班"", ""通用编程项目班"", ""通用编程就业强化班""]"
systems_programming_bank,系统级编程题库,computer_science_core,计算机科学能力线,computer_science,programming_languages,systems_programming,"[""master"", ""undergraduate""]","[""career_switch"", ""promotion"", ""skill_improvement""]","[""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""系统级编程"", ""编程语言"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""系统级编程基础班"", ""系统编程实战班"", ""Linux系统开发进阶班""]"
scripting_and_automation_bank,脚本与自动化编程题库,computer_science_core,计算机科学能力线,computer_science,programming_languages,scripting_and_automation,"[""junior_college"", ""undergraduate""]","[""career_switch"", ""promotion"", ""skill_improvement""]","[""freelancer"", ""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""脚本与自动化编程"", ""编程语言"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""脚本自动化入门班"", ""办公与运维自动化班"", ""自动化工具开发班""]"
web_programming_languages_bank,Web编程语言题库,computer_science_core,计算机科学能力线,computer_science,programming_languages,web_programming_languages,"[""junior_college"", ""undergraduate""]","[""career_switch"", ""job_hunting"", ""skill_improvement""]","[""in_school_student"", ""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""Web编程语言"", ""编程语言"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""Web开发语言入门班"", ""JavaScript核心实战班"", ""TypeScript工程进阶班""]"
low_level_programming_bank,底层与低级语言题库,computer_science_core,计算机科学能力线,computer_science,programming_languages,low_level_programming,"[""master"", ""undergraduate""]","[""job_hunting"", ""promotion"", ""skill_improvement""]","[""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""底层与低级语言"", ""编程语言"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""底层语言基础班"", ""底层性能优化班"", ""底层开发专项班""]"
frontend_development_bank,前端开发题库,computer_science_core,计算机科学能力线,computer_science,web_development,frontend_development,"[""junior_college"", ""undergraduate""]","[""career_switch"", ""job_hunting"", ""skill_improvement""]","[""in_school_student"", ""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""前端开发"", ""Web开发"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""前端开发基础班"", ""前端工程化项目班"", ""前端高阶就业班""]"
backend_development_bank,后端开发题库,computer_science_core,计算机科学能力线,computer_science,web_development,backend_development,"[""master"", ""undergraduate""]","[""job_hunting"", ""promotion"", ""skill_improvement""]","[""in_school_student"", ""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""后端开发"", ""Web开发"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""后端开发基础班"", ""后端服务项目班"", ""后端架构进阶班""]"
fullstack_development_bank,全栈开发题库,computer_science_core,计算机科学能力线,computer_science,web_development,fullstack_development,"[""junior_college"", ""undergraduate""]","[""career_switch"", ""job_hunting"", ""skill_improvement""]","[""in_school_student"", ""job_seeker"", ""working_professional""]","[""offline_face_to_face"", ""online_live""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""全栈开发"", ""Web开发"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""全栈开发系统班"", ""全栈项目实战班"", ""全栈工程师就业班""]"
network_and_communication_systems_bank,网络与通信系统题库,computer_science_core,计算机科学能力线,computer_science,computer_systems,network_and_communication_systems,"[""master"", ""undergraduate""]","[""job_hunting"", ""promotion"", ""skill_improvement""]","[""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""网络与通信系统"", ""计算机系统"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""计算机网络基础班"", ""网络协议实战班"", ""网络工程进阶班""]"
operating_and_runtime_systems_bank,操作系统与运行时题库,computer_science_core,计算机科学能力线,computer_science,computer_systems,operating_and_runtime_systems,"[""doctor"", ""master"", ""undergraduate""]","[""job_hunting"", ""promotion"", ""skill_improvement""]","[""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""操作系统与运行时"", ""计算机系统"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""操作系统基础班"", ""操作系统实现班"", ""运行时与内核进阶班""]"
