question_bank_code,question_code,question_type_code,stem,options_json,answer_text,analysis_text
general_purpose_programming_bank,general_purpose_programming_bank_q001,single_choice,关于变量与常量的说法，哪一项更符合常见程序设计实践？,"[{""key"": ""A"", ""text"": ""变量一旦赋值就不能再改变""}, {""key"": ""B"", ""text"": ""常量用于表示运行过程中不应被修改的值""}, {""key"": ""C"", ""text"": ""常量和变量没有任何区别""}, {""key"": ""D"", ""text"": ""变量只能保存整数""}]",B,常量用于表达业务中不希望被修改的值，能提升代码可读性和安全性。
general_purpose_programming_bank,general_purpose_programming_bank_q002,single_choice,关于数据类型转换，下面哪种做法最稳妥？,"[{""key"": ""A"", ""text"": ""直接把任意文本当作数字参与运算""}, {""key"": ""B"", ""text"": ""在转换前先校验输入格式，再执行显式转换""}, {""key"": ""C"", ""text"": ""只要能运行，所有转换都可以忽略异常""}, {""key"": ""D"", ""text"": ""所有语言都会自动处理错误格式""}]",B,显式校验后再转换，可以减少运行时错误并让问题更容易定位。
general_purpose_programming_bank,general_purpose_programming_bank_q003,single_choice,以下哪种写法最能体现循环中的提前退出机制？,"[{""key"": ""A"", ""text"": ""continue""}, {""key"": ""B"", ""text"": ""break""}, {""key"": ""C"", ""text"": ""returnType""}, {""key"": ""D"", ""text"": ""switch""}]",B,break 用于立即结束当前循环，适合在满足条件后提前停止遍历。
general_purpose_programming_bank,general_purpose_programming_bank_q004,single_choice,关于函数参数传递，以下说法更准确的是哪一项？,"[{""key"": ""A"", ""text"": ""函数参数只是把逻辑拆分，和数据无关""}, {""key"": ""B"", ""text"": ""函数参数用于向函数传入必要数据""}, {""key"": ""C"", ""text"": ""函数参数只能是数字""}, {""key"": ""D"", ""text"": ""函数参数越多越好""}]",B,参数让函数具备复用能力，把输入和处理逻辑分离开。
general_purpose_programming_bank,general_purpose_programming_bank_q005,single_choice,当需要保存一组有序数据且通常不希望频繁修改时，下列哪种结构更常见？,"[{""key"": ""A"", ""text"": ""列表""}, {""key"": ""B"", ""text"": ""集合""}, {""key"": ""C"", ""text"": ""映射""}, {""key"": ""D"", ""text"": ""布尔值""}]",A,列表常用于有序集合；如果强调不可变，很多语言还会提供元组或数组常量。
general_purpose_programming_bank,general_purpose_programming_bank_q006,single_choice,关于字符串的特性，哪一项最常见？,"[{""key"": ""A"", ""text"": ""字符串通常可直接原地修改任意字符""}, {""key"": ""B"", ""text"": ""字符串经常被设计为不可变对象""}, {""key"": ""C"", ""text"": ""字符串只能保存英文字母""}, {""key"": ""D"", ""text"": ""字符串不能参与比较""}]",B,很多语言把字符串设计为不可变，便于共享、比较和缓存。
general_purpose_programming_bank,general_purpose_programming_bank_q007,single_choice,面向对象设计中，哪个概念最直接体现“隐藏内部实现，只暴露必要接口”？,"[{""key"": ""A"", ""text"": ""封装""}, {""key"": ""B"", ""text"": ""继承""}, {""key"": ""C"", ""text"": ""多态""}, {""key"": ""D"", ""text"": ""重载""}]",A,封装强调把内部状态和外部访问方式隔离开，降低耦合。
general_purpose_programming_bank,general_purpose_programming_bank_q008,single_choice,以下哪种做法最符合基础的异常处理思路？,"[{""key"": ""A"", ""text"": ""忽略所有错误，让程序继续随意执行""}, {""key"": ""B"", ""text"": ""只在最外层统一捕获，不做任何区分""}, {""key"": ""C"", ""text"": ""对可预期的错误进行捕获并给出明确处理""}, {""key"": ""D"", ""text"": ""把异常当成正常返回值直接替代所有逻辑""}]",C,异常处理的目标是管理错误路径，而不是掩盖问题。
general_purpose_programming_bank,general_purpose_programming_bank_q009,multiple_choice,关于递归，哪些说法是正确的？,"[{""key"": ""A"", ""text"": ""递归函数通常需要明确的终止条件""}, {""key"": ""B"", ""text"": ""递归适合把复杂问题拆成更小的同类问题""}, {""key"": ""C"", ""text"": ""递归调用太深可能导致栈溢出""}, {""key"": ""D"", ""text"": ""递归一定比循环更快""}]",A、B、C,递归依赖终止条件和问题分解，深度过大时会消耗调用栈。
general_purpose_programming_bank,general_purpose_programming_bank_q010,multiple_choice,关于代码复杂度和效率，哪些做法通常有助于提升程序性能？,"[{""key"": ""A"", ""text"": ""减少不必要的重复计算""}, {""key"": ""B"", ""text"": ""在循环中频繁创建无意义的大对象""}, {""key"": ""C"", ""text"": ""选择合适的数据结构""}, {""key"": ""D"", ""text"": ""尽量在热点路径上增加额外 I/O""}]",A、C,性能优化通常来自减少重复工作和使用更合适的数据结构，而不是增加额外开销。
